CLIENT HOST	TOTAL	SUC_RATIO	NORMAL	WRONG	LOSS	DELAY
10.112.242.198:9001	163	51.53%	161	0	2	0
	2021-01-03 20:26:55:885 CST	ACK_ack: 1001	
	2021-01-03 20:26:56:245 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:260 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:276 CST	ACK_ack: 3301	
	2021-01-03 20:26:56:984 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:989 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:993 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:56:994 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:010 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:57:025 CST	ACK_ack: 7901	
	2021-01-03 20:26:58:459 CST	ACK_ack: 17101	
	2021-01-03 20:26:58:459 CST	ACK_ack: 17101	
	2021-01-03 20:26:58:459 CST	ACK_ack: 17101	
	2021-01-03 20:26:58:475 CST	ACK_ack: 17101	

